step,t_si,Fx,Fy,Fz,CA,CN
38500,14.9767,2.49514,-0.84097,0.0489946,1.926,0.965566
39000,15.1712,2.36093,-1.00233,-0.0878172,1.79888,1.08103
39500,15.3657,2.92488,-0.946186,-0.116078,2.26224,1.09976
40000,15.5602,2.90376,-0.74448,0.0684747,2.26809,0.933914
40500,15.7547,2.50726,-0.88096,0.155869,1.93127,0.99935
41000,15.9492,2.35525,-0.928681,0.0731703,1.80267,1.02071
41500,16.1437,2.78344,-1.00414,0.0891772,2.14102,1.13061
42000,16.3382,2.91453,-0.786515,0.0737057,2.27203,0.969202
42500,16.5327,2.49055,-0.802772,0.0125924,1.92663,0.934092
43000,16.7272,2.29692,-0.966879,-0.0188028,1.75105,1.04502
43500,16.9217,2.7563,-0.919816,-0.0207741,2.12864,1.05919
44000,17.1162,2.962,-0.70718,0.0972614,2.31953,0.910323
44500,17.3107,2.53852,-0.687059,0.191839,1.97868,0.845795
45000,17.5052,2.2673,-0.910363,0.091068,1.73349,0.995848
45500,17.6997,2.66314,-0.965378,0.00202896,2.04797,1.0855
46000,17.8942,2.98062,-0.758363,0.0551179,2.32879,0.953916
46500,18.0887,2.63837,-0.706847,0.128401,2.05733,0.873199
47000,18.2832,2.33658,-0.930289,0.0862307,1.78736,1.01988
47500,18.4777,2.5614,-1.00362,0.0566496,1.96117,1.1049
48000,18.6722,2.85205,-0.846995,0.222571,2.21451,1.01109
48500,18.8667,2.77242,-0.73915,0.19833,2.16227,0.914639
49000,19.0612,2.42434,-0.816741,0.100915,1.87139,0.937871
49500,19.2557,2.52511,-1.01939,0.0852487,1.92997,1.11355
50000,19.4502,2.89849,-0.879248,0.153196,2.24848,1.04251
50500,19.6447,2.73307,-0.745537,0.173228,2.12966,0.915334
51000,19.8392,2.3415,-0.835946,0.136819,1.80208,0.943999
51500,20.0337,2.38334,-1.00857,-0.0878363,1.81633,1.08863
52000,20.2282,2.89816,-0.875411,-0.0969371,2.24864,1.03937
52500,20.4227,2.79778,-0.779142,0.0345157,2.17827,0.949932
53000,20.6172,2.39385,-0.835662,0.00397648,1.84454,0.94973
53500,20.8117,2.42236,-1.0475,-0.0531289,1.84351,1.12462
54000,21.0062,2.77478,-0.892191,-0.00193077,2.14676,1.03891
54500,21.2007,2.84101,-0.854732,0.0335596,2.20469,1.0161
55000,21.3952,2.49238,-0.794514,0.108105,1.92905,0.927609
55500,21.5897,2.40332,-0.988877,0.0266145,1.83476,1.07496
56000,21.7843,2.69132,-0.89396,0.0355385,2.07893,1.03084
56500,21.9788,2.81254,-0.717982,0.119167,2.1972,0.902056
57000,22.1733,2.57932,-0.719349,0.0107754,2.00806,0.876604
57500,22.3678,2.43218,-0.899103,0.118018,1.86837,1.0055
58000,22.5623,2.73016,-0.985662,-0.098401,2.09996,1.10957
58500,22.7568,2.82586,-0.7995,0.0225406,2.1987,0.969625
59000,22.9513,2.59456,-0.945571,0.00464773,1.99465,1.06164
59500,23.1458,2.39666,-0.98933,-0.0533812,1.82932,1.07457
60000,23.3403,2.54263,-1.00218,-0.0940745,1.94613,1.1016
60500,23.5348,2.90185,-0.845399,0.0429837,2.25505,1.01547
61000,23.7293,2.67268,-0.766807,0.0608441,2.07831,0.925691
61500,23.9238,2.38889,-0.880097,-0.0584535,1.83546,0.98517
62000,24.1183,2.57711,-1.00147,-0.18005,1.97415,1.10495
62500,24.3128,2.86521,-0.75451,0.00501099,2.23571,0.937652
# RESULT alpha_deg=8 CA=2.03938 CN=1.00475 samples=51
